,NAME ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,T O P S ,P O I N T S 
1,Maya Madere ,14,1,1,5,14,1,1,1,14,1,1,1.5,3,1.96
2,Georgia Bank ,14,1,1,5,9,1,2,2,14,1,1,1.5,2,2.47
3,Sidney Trinidad ,14,1,1,5,9,2,3,3,14,3,5,6,2,4.48
4,Audrey Miller ,14,1,1,5,7,1,6,7,14,2,3,3.5,2,4.97
5,Julia Talbot ,14,1,1,5,8,4,5,5,14,3,5,6,2,5.31
6,Laili Couper ,14,1,1,5,7,2,9,9,14,3,5,6,2,6.46
7,Miriam Timson ,14,2,10,10,7,3,10,10,14,2,3,3.5,2,7.05
8,Melina Costanza ,14,1,1,5,8,1,4,4,13,5,8,8,1,5.43
9,Bimini Horstmann ,14,1,1,5,7,1,6,7,11,1,9,9,1,6.8
10,Kara Herson ,14,1,1,5,7,1,6,7,11,3,10,10,1,7.05
11,Katie Malinowski ,11,4,11,11,6,2,11,11,8,1,11,11,,11
