,NAME ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,T O P S ,P O I N T S 
1,Sidney Trinidad ,11,1,1,1.5,10,1,2,2.5,10,1,1,4,2,2.47
2,Maya Madere ,11,2,3,5.5,11,4,1,1,10,1,1,4,2,2.8
3,Melina Costanza ,11,1,1,1.5,7,2,6,6.5,10,1,1,4,2,3.39
4,Miriam Timson ,11,2,3,5.5,8,2,4,4,10,1,1,4,2,4.45
5,Georgia Bank ,11,2,3,5.5,3,4,12,12,10,1,1,4,2,6.42
6,Audrey Miller ,11,2,3,5.5,5,3,10,10,10,2,8,8.5,2,7.76
7,Julia Talbot ,11,2,3,5.5,2,3,17,18,10,4,10,10,2,9.97
8,Laili Couper ,11,2,3,5.5,10,1,2,2.5,9,3,12,12,1,5.48
9,Kara Herson ,9,2,9,9.5,7,3,8,8,10,1,1,4,1,6.72
10,Katie Malinowski ,6,3,17,17,4,4,11,11,10,1,1,4,1,9.08
11,Bimini Horstmann ,8,1,12,12,2,1,13,14.5,10,2,8,8.5,1,11.39
12,Ariana Mathews ,7,8,14,14.5,7,1,5,5,7,6,13,13,,9.8
13,Chloe Massenat ,6,11,19,19,7,2,6,6.5,6,1,14,14.5,,12.14
14,Cierra Graham ,9,6,11,11,2,1,13,14.5,6,3,16,17,,13.94
15,Jenna Wang ,9,2,9,9.5,2,1,13,14.5,4,1,21,21,,14.25
16,Taylor Russell ,6,2,16,16,2,1,13,14.5,6,1,14,14.5,,14.98
17,Isabelle Gibbs ,2,1,20,20.5,6,3,9,9,5,6,20,20,,15.45
18,Sophia Kwon ,7,5,13,13,2,3,17,18,6,3,16,17,,15.84
19,Alena Holbert ,2,1,20,20.5,2,3,17,18,9,2,11,11,,15.95
20,Caroline Brody ,7,8,14,14.5,2,4,20,20.5,6,5,19,19,,17.81
21,Cameron Mason ,6,6,18,18,2,4,20,20.5,6,3,16,17,,18.44
