,NAME ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,T O P S ,P O I N T S 
1,Ashima Shiraishi ,11,1,1,4,9,1,1,1,16,1,1,1.5,2,1.82
2,Brooke Raboutou ,11,1,1,4,7,3,2,2.5,16,1,1,1.5,2,2.47
3,Sienna Kopf ,11,2,8,8,3,1,7,8,16,3,3,3,2,5.77
4,Lauren Bair ,11,1,1,4,5,2,4,4,8,7,5,5.5,1,4.45
5,Arabella Jariel ,11,1,1,4,7,3,2,2.5,5,6,9,9,1,4.48
6,Isabel Barrientos ,11,1,1,4,4,5,6,6,7,3,7,7,1,5.52
7,Natalia Grossman ,11,1,1,4,4,3,5,5,4,1,10,10,1,5.85
8,Amelia Marcuson ,11,1,1,4,3,1,7,8,4,2,11,11,1,7.06
9,Arabella Walley ,9,1,9,9.5,3,2,10,10.5,8,4,4,4,,7.36
10,Stella Noble ,9,1,9,9.5,3,2,10,10.5,8,7,5,5.5,,8.19
11,Riley Ogier ,7,1,11,11,3,1,7,8,5,3,8,8,,8.9
