,NAME ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,T O P S ,P O I N T S 
1,Ashima Shiraishi ,14,1,1,5,17,1,1,2,13,1,1,2,3,2.71
2,Brooke Raboutou ,14,1,1,5,17,1,1,2,13,2,4,4,3,3.42
3,Stella Noble ,14,1,1,5,17,1,1,2,11,3,9,9,2,4.48
4,Natalia Grossman ,14,2,10,11,13,3,8,8,13,1,1,2,2,5.6
5,Isabel Barrientos ,14,2,10,11,12,1,9,9.5,13,1,1,2,2,5.93
6,Lauren Bair ,14,1,1,5,13,2,5,6,11,1,5,6.5,1,5.8
7,Sienna Kopf ,14,1,1,5,12,1,9,9.5,11,1,5,6.5,1,6.76
8,Arabella Jariel ,14,1,1,5,12,2,11,12.5,11,1,5,6.5,1,7.41
9,Amelia Marcuson ,14,1,1,5,8,1,19,20,11,1,5,6.5,1,8.66
10,Riley Ogier ,14,1,1,5,11,2,15,15.5,8,1,18,19,1,11.38
11,Arabella Walley ,14,1,1,5,11,2,15,15.5,8,1,18,19,1,11.38
12,Lauren Berry ,14,2,10,11,8,1,19,20,9,1,12,14.5,1,14.72
13,Ruby Huie ,14,3,13,13,12,2,11,12.5,8,3,21,21,1,15.06
14,Jenna Tseng ,9,1,18,18,13,1,4,4,9,1,12,14.5,,10.14
15,Cameron Thomson ,12,1,15,15,13,2,5,6,9,1,12,14.5,,10.93
16,Ariana O'Brien ,11,1,16,16,12,2,11,12.5,10,2,10,10.5,,12.81
17,Gabrielle Lampner ,6,3,21,21,13,2,5,6,8,1,18,19,,13.38
18,Jenny Jiang ,11,3,17,17,12,2,11,12.5,9,1,12,14.5,,14.55
19,Victoria Siegel ,6,1,19,19,10,4,17,17,10,2,10,10.5,,15.02
20,Thea Wulff ,13,1,14,14,8,1,19,20,9,1,12,14.5,,15.95
21,Olivia Ogier ,6,2,20,20,9,5,18,18,9,1,12,14.5,,17.35
