,NAME ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,T O P S ,P O I N T S 
1,Jessica Fecanin ,9,5,4,4.5,12,3,1,1,13,1,1,3,2,2.38
2,Campbell Sarinopoulos ,9,4,3,3,10,3,2,2,13,1,1,3,2,2.62
3,Marielle Horstmann ,9,1,1,1.5,6,1,8,8.5,13,1,1,3,2,3.37
4,Dinah Marcuson ,9,5,4,4.5,6,1,8,8.5,13,2,6,6,2,6.12
5,Sydney Darensburg ,9,1,1,1.5,7,1,4,4.5,9,1,9,9,1,3.93
6,Nora Voght ,3,3,9,9.5,8,3,3,3,13,1,1,3,1,4.41
7,Kiara Pellicane-Hart ,3,3,9,9.5,7,1,4,4.5,13,1,1,3,1,5.04
8,Emma Grace Lehmann ,3,1,7,7.5,7,2,6,6,13,3,7,7,1,6.8
9,Tesla Mitchell ,5,10,6,6,7,4,7,7,5,3,10,10,,7.49
10,Norah Chi ,3,1,7,7.5,6,2,10,10,10,3,8,8,,8.43
