,NAME ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,T O P S ,P O I N T S 
1,Jessica Fecanin ,15,1,1,7.5,10,2,1,1,14,1,1,8,2,3.91
2,Dinah Marcuson ,15,1,1,7.5,9,1,2,3,14,1,1,8,2,5.65
3,Sydney Darensburg ,15,1,1,7.5,9,1,2,3,14,1,1,8,2,5.65
4,Norah Chi ,15,1,1,7.5,9,1,2,3,14,1,1,8,2,5.65
5,Campbell Sarinopoulos ,15,1,1,7.5,9,2,5,5,14,1,1,8,2,6.69
6,Emma Grace Lehmann ,15,1,1,7.5,9,5,8,8,14,1,1,8,2,7.83
7,Kiara Pellicane-Hart ,15,1,1,7.5,7,3,12,13.5,14,1,1,8,2,9.32
8,Nora Voght ,15,1,1,7.5,7,3,12,13.5,14,1,1,8,2,9.32
9,Tesla Mitchell ,15,1,1,7.5,9,4,6,6.5,14,2,16,18,2,9.57
10,Marielle Horstmann ,15,1,1,7.5,6,1,17,18.5,14,1,1,8,2,10.35
11,Ashleigh Kazor ,15,1,1,7.5,6,1,17,18.5,14,1,1,8,2,10.35
12,Helen Gillett ,15,2,15,16,8,3,9,9.5,14,1,1,8,2,10.67
13,Lydia Dolan ,15,1,1,7.5,7,3,12,13.5,14,2,16,18,2,12.21
14,Zoe Lang ,15,1,1,7.5,7,3,12,13.5,14,2,16,18,2,12.21
15,Sarah Kate Ashton ,15,2,15,16,6,1,17,18.5,14,1,1,8,2,13.33
16,Charlotte Howell ,15,1,1,7.5,6,1,17,18.5,14,2,16,18,2,13.57
17,Morgan Tadje ,15,2,15,16,8,4,11,11,14,2,16,18,2,14.69
18,Kylee Beam ,13,1,18,18.5,9,4,6,6.5,14,1,1,8,1,9.87
19,Nekaia Sanders ,12,1,20,20,8,3,9,9.5,14,1,1,8,1,11.5
20,Amelia Bradley ,13,1,18,18.5,7,4,16,16,14,1,1,8,1,13.33
