,NAME ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,T O P S ,P O I N T S 
1,Olivia Kosanovich ,5,3,7,7.5,15,2,1,1,14,1,1,2.5,2,2.66
2,Julia De La Paz ,5,1,1,2,10,3,3,3,14,1,1,2.5,1,2.47
3,Meera Krishnan ,5,2,4,5,14,2,2,2,14,1,1,2.5,1,2.92
4,Anna Von Dungen ,5,1,1,2,9,3,7,7.5,14,2,5,5,1,4.22
5,Eve Weksler ,4,1,9,10,4,1,11,11,14,1,1,2.5,1,6.5
6,Shyanne Williams ,5,2,4,5,9,1,4,4.5,13,1,6,6.5,,5.27
7,Natalie Kessler ,5,1,1,2,7,2,10,10,11,2,9,9.5,,5.75
8,Oceana Carter ,5,3,7,7.5,9,1,4,4.5,13,1,6,6.5,,6.03
9,Alana Hendricks ,5,2,4,5,9,3,7,7.5,10,3,11,11,,7.44
10,Brodie Mccarthy ,4,1,9,10,9,2,6,6,11,1,8,8,,7.83
11,Macy Brigham-Hill ,4,1,9,10,8,3,9,9,11,2,9,9.5,,9.49
