,NAME ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,T O P S ,P O I N T S 
1,Olivia Kosanovich ,19,1,1,2,12,1,1,1,12,1,1,6,3,2.29
2,Meera Krishnan ,19,1,1,2,12,4,2,2,12,1,1,6,3,2.88
3,Anna Von Dungen ,15,1,9,13,9,3,3,3,12,1,1,6,1,6.16
4,Macy Brigham-Hill ,16,1,4,5,5,1,9,9.5,12,1,1,6,1,6.58
5,Brodie Mccarthy ,16,2,7,7.5,8,1,4,4,12,2,12,13,1,7.31
6,Alana Hendricks ,16,2,7,7.5,5,1,9,9.5,12,1,1,6,1,7.53
7,Oceana Carter ,15,1,9,13,7,3,6,6,12,1,1,6,1,7.76
8,Shyanne Williams ,19,1,1,2,4,2,17,17.5,10,1,17,17.5,1,8.49
9,Natalie Kessler ,15,1,9,13,6,16,8,8,12,1,1,6,1,8.55
10,Eve Weksler ,16,1,4,5,2,1,21,21,12,1,1,6,1,8.57
11,Julia De La Paz ,15,1,9,13,4,1,11,13.5,12,1,1,6,1,10.17
12,Annabelle Howell ,15,1,9,13,4,1,11,13.5,12,1,1,6,1,10.17
13,Lydia Cocciolone ,15,1,9,13,4,2,17,17.5,12,1,1,6,1,11.09
14,Mira Capicchioni ,15,2,18,18.5,7,2,5,5,12,3,15,15,1,11.15
15,Gretchen Myrick ,15,3,20,20,7,4,7,7,12,2,12,13,1,12.21
16,Sloane Warmkessel ,15,1,9,13,4,1,11,13.5,12,2,12,13,1,13.16
17,Kaitlyn Bone ,16,1,4,5,4,4,19,19.5,8,3,19,19.5,,12.39
18,Lilly Czerwinski ,15,1,9,13,4,1,11,13.5,10,1,17,17.5,,14.54
19,Olivia Ma ,15,1,9,13,4,4,19,19.5,11,2,16,16,,15.95
20,Katharine (Katie) Flagel ,15,2,18,18.5,4,1,11,13.5,6,1,21,21,,17.37
21,Ella Tillery ,14,2,21,21,4,1,11,13.5,8,3,19,19.5,,17.68
