,NAME ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,T O P S ,P O I N T S 
1,Kai Lightner ,10,3,9,9,14,3,1,2,11,1,1,1,3,2.62
2,Bobby Taft-Pittman ,10,1,1,3,14,3,1,2,11,3,3,3.5,3,2.76
3,Rudolph Ruana ,10,2,6,7,14,3,1,2,11,5,5,5,3,4.12
4,Brett Walker ,10,1,1,3,11,6,5,5,11,2,2,2,2,3.11
5,Sam Struthers ,10,2,6,7,8,1,6,7,11,3,3,3.5,2,5.56
6,Timmy Dolan ,10,1,1,3,11,4,4,4,5,1,8,8.5,1,4.67
7,Justin Hall ,10,1,1,3,8,1,6,7,8,3,6,6.5,1,5.15
8,Gentry Cole ,10,1,1,3,8,1,6,7,4,1,10,10,1,5.94
9,Emmanuel Quintana ,10,2,6,7,8,2,9,9.5,8,3,6,6.5,1,7.56
10,Everett Sloane ,8,1,10,10,8,2,9,9.5,5,1,8,8.5,,9.31
