,NAME ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,T O P S ,P O I N T S 
1,Rudolph Ruana ,10,1,1,2,16,1,1,4,17,2,2,2,2,2.52
2,Kai Lightner ,10,2,4,4.5,16,1,1,4,17,1,1,1,2,2.62
3,Sam Struthers ,10,1,1,2,16,1,1,4,13,2,3,3.5,2,3.04
4,Brett Walker ,10,1,1,2,16,1,1,4,13,4,6,6,2,3.63
5,Justin Hall ,10,3,6,8,16,1,1,4,13,2,3,3.5,2,4.82
6,Everett Sloane ,10,2,4,4.5,16,1,1,4,12,1,7,7,2,5.01
7,Timmy Dolan ,10,3,6,8,16,1,1,4,11,4,9,9,2,6.6
8,Emmanuel Quintana ,10,3,6,8,14,1,10,10,12,5,8,8,1,8.62
9,Bobby Taft-Pittman ,8,1,11,11.5,16,2,8,8,10,2,11,11,1,10.04
10,Gentry Cole ,10,3,6,8,15,2,9,9,5,1,17,18,1,10.9
11,Tanner Mack ,10,3,6,8,12,1,15,15,7,2,13,13,1,11.6
12,Alex Astesano ,6,1,17,17,11,2,19,19.5,13,3,5,5,,11.83
13,Eric Jerome ,8,2,13,13,13,1,13,13.5,8,2,12,12,,12.82
14,Gavin Robertson ,8,3,14,14,11,2,19,19.5,10,1,10,10,,13.98
15,Zachary Levy ,7,2,16,16,14,2,11,11,5,1,17,18,,14.69
16,Philip Larosa ,8,1,11,11.5,12,2,16,16,5,1,17,18,,14.91
17,Akseli Palmer ,6,2,18,18,14,3,12,12,6,5,16,16,,15.12
18,John Brock ,2,1,19,19.5,13,1,13,13.5,6,3,14,14,,15.45
19,Connor Zabrecky ,8,4,15,15,12,5,17,17,5,3,20,20,,17.21
20,Nicholas Romero ,2,1,19,19.5,11,1,18,18,6,4,15,15,,17.4
