,NAME ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,T O P S ,P O I N T S 
1,Corbin Miley ,9,1,1,1,12,1,1,2,11,2,1,1.5,2,1.44
2,Devin Wong ,7,2,6,7,12,3,5,5.5,11,2,1,1.5,2,3.87
3,Clay Gordon ,8,1,2,2.5,12,1,1,2,7,5,5,5,1,2.92
4,Ross Fulkerson ,7,1,4,4.5,12,1,1,2,10,4,3,3,1,3
5,Joe Goodacre ,8,1,2,2.5,12,3,5,5.5,6,1,6,7,1,4.58
6,Michael Jucewicz ,7,2,6,7,12,2,4,4,7,4,4,4,1,4.82
7,Vincent Lee ,7,1,4,4.5,7,1,7,8.5,6,2,9,9.5,,7.14
8,Spencer Kapayo ,7,2,6,7,7,1,7,8.5,6,1,6,7,,7.47
9,Owen Taravella ,7,3,9,9,7,1,7,8.5,6,1,6,7,,8.12
10,Dylan Duregger ,4,1,10,10,7,1,7,8.5,6,2,9,9.5,,9.31
