,NAME ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,T O P S ,P O I N T S 
1,Corbin Miley ,12,1,1,6,13,2,1,1.5,7,1,1,4,3,3.3
2,Joe Goodacre ,12,1,1,6,13,3,3,3,7,1,1,4,3,4.16
3,Dylan Duregger ,12,1,1,6,13,2,1,1.5,7,7,19,19,3,5.55
4,Ross Fulkerson ,12,1,1,6,13,4,4,4,7,2,8,11,3,6.42
5,Devin Wong ,12,1,1,6,10,4,6,6,7,1,1,4,2,5.24
6,Owen Taravella ,12,1,1,6,10,3,5,5,7,2,8,11,2,6.91
7,Vincent Lee ,12,1,1,6,2,1,14,17,7,1,1,4,2,7.42
8,Clay Gordon ,12,2,12,12.5,8,8,10,10,7,1,1,4,2,7.94
9,Spencer Kapayo ,12,1,1,6,8,5,9,9,7,3,15,16,2,9.52
10,Michael Jucewicz ,12,3,14,14,2,1,14,17,7,1,1,4,2,9.84
11,Sam Mcqueen ,12,1,1,6,2,1,14,17,7,2,8,11,2,10.39
12,Stefan Fellner ,12,1,1,6,2,1,14,17,7,2,8,11,2,10.39
13,Devin Hammonds ,12,1,1,6,2,1,14,17,7,3,15,16,2,11.77
14,Luke Davison ,12,2,12,12.5,7,4,13,13,7,2,8,11,2,12.14
15,Innis Gallagher ,8,1,16,17,9,3,7,7,7,1,1,4,1,7.81
16,Elan Eskin ,8,3,20,20,7,2,12,12,7,2,8,11,1,13.82
17,Nicholas Stuart ,8,1,16,17,7,1,11,11,7,3,15,16,1,14.41
18,Daniel Martins ,8,2,19,19,2,1,14,17,7,2,8,11,1,15.26
19,Nathaniel Surma ,8,1,16,17,2,1,14,17,7,5,18,18,1,17.33
20,Benjamin Morrison Roberts ,10,3,15,15,8,4,8,8,6,4,20,20,,13.39
