,NAME ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,T O P S ,P O I N T S 
1,Elliot Wiecek ,16,1,1,1.5,17,1,1,1,13,10,2,2,3,1.44
2,Colin Duffy ,16,1,1,1.5,17,3,2,2.5,13,11,3,3,3,2.24
3,Anthony Lesik ,9,4,4,4,17,3,2,2.5,13,2,1,1,2,2.15
4,Ethan Freudenheim ,14,3,3,3,15,1,4,4,13,12,4,4,1,3.63
5,Connor Herson ,7,1,5,5,15,3,6,6,11,6,5,5,,5.31
6,Leo Costanza ,7,5,6,6.5,15,2,5,5,6,4,7,7,,6.1
7,Jason Wills ,2,1,10,10,13,2,7,7.5,7,9,6,6,,7.66
8,Isaac Leff ,5,3,8,8,11,3,9,9,5,7,8,8,,8.32
9,Ryan Fanchiotti ,7,5,6,6.5,11,4,10,10,3,8,9,9,,8.36
10,Cody Stevenson ,3,1,9,9,13,2,7,7.5,2,1,10,10,,8.77
