,NAME ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,T O P S ,P O I N T S 
1,Elliot Wiecek ,12,1,1,9,14,1,1,1.5,9,1,1,3.5,3,3.62
2,Cody Stevenson ,12,1,1,9,14,1,1,1.5,9,1,1,3.5,3,3.62
3,Colin Duffy ,12,1,1,9,14,2,3,3.5,9,1,1,3.5,3,4.8
4,Ryan Fanchiotti ,12,1,1,9,14,2,3,3.5,9,1,1,3.5,3,4.8
5,Anthony Lesik ,12,1,1,9,14,3,5,5,9,3,11,11.5,3,8.03
6,Connor Herson ,12,1,1,9,12,3,7,8,9,1,1,3.5,2,6.32
7,Isaac Leff ,12,1,1,9,11,1,10,11,9,1,1,3.5,2,7.02
8,Leo Costanza ,12,1,1,9,12,3,7,8,9,2,7,8.5,2,8.49
9,Jason Wills ,12,1,1,9,12,3,7,8,9,2,7,8.5,2,8.49
10,Ethan Freudenheim ,12,1,1,9,11,1,10,11,9,3,11,11.5,2,10.44
11,Ethan Rogers ,12,1,1,9,9,1,15,16,9,2,7,8.5,2,10.7
12,Zander Waller ,12,1,1,9,11,1,10,11,9,5,14,14,2,11.15
13,Ellis Ernsberger ,12,1,1,9,11,3,13,13.5,9,10,15,15,2,12.21
14,Lucas Oddi ,12,1,1,9,12,1,6,6,6,7,18,18,1,9.91
15,"Michael ""Bug"" D'Amato ",12,1,1,9,9,1,15,16,5,5,19,19,1,13.99
16,Le Evans ,12,1,1,9,7,1,20,20.5,8,3,16,16,1,14.35
17,Joshua Gerhardt ,11,4,20,20,9,5,18,18,9,2,7,8.5,1,14.52
18,Ian Davis ,12,1,1,9,8,2,19,19,4,7,21,21,1,15.31
19,Victor Baudrand ,12,2,18,18.5,11,3,13,13.5,5,7,20,20,1,17.09
20,Kyle Stephens ,12,2,18,18.5,9,1,15,16,7,5,17,17,1,17.14
21,Tanner Bauer ,7,2,21,21,7,1,20,20.5,9,4,13,13,1,17.75
