,NAME ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,T O P S ,P O I N T S 
1,Oscar Baudrand ,11,3,7,7,13,3,1,1,13,2,3,3,2,2.76
2,Emmanuel Derima ,13,8,2,2,7,1,3,6,13,1,1,1.5,1,2.62
3,Vail Everett ,11,1,4,4,7,1,3,6,13,1,1,1.5,1,3.3
4,Benn Wheeler ,17,4,1,1,7,1,3,6,6,1,10,10,1,3.91
5,Aidan Schenk ,12,4,3,3,7,1,3,6,13,3,4,4.5,1,4.33
6,Hugo Hoyer ,7,3,10,10,7,1,3,6,13,3,4,4.5,1,6.46
7,Lucas Tillery ,11,2,5,5.5,9,1,2,2,6,2,11,11,,4.95
8,Jackson Delgrosso ,11,2,5,5.5,7,2,10,10.5,12,4,6,6,,7.02
9,Jack Felix ,11,6,8,8,7,1,3,6,8,3,8,8,,7.27
10,Joshua Le Rexroad ,10,2,9,9,7,1,3,6,7,4,9,9,,7.86
11,Harry Robinson ,2,1,11,11,7,2,10,10.5,11,4,7,7,,9.32
