,NAME ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,T O P S ,P O I N T S 
1,Jackson Delgrosso ,13,1,1,6,15,1,1,8,11,1,1,1,3,3.63
2,Aidan Schenk ,13,1,1,6,15,1,1,8,11,2,2,2.5,3,4.93
3,Oscar Baudrand ,13,1,1,6,15,1,1,8,11,2,2,2.5,3,4.93
4,Lucas Tillery ,13,2,12,13,15,1,1,8,11,4,4,4.5,3,7.76
5,Vail Everett ,13,1,1,6,15,1,1,8,9,2,8,8,2,7.27
6,Jack Felix ,13,1,1,6,15,1,1,8,9,3,9,9.5,2,7.7
7,Emmanuel Derima ,13,1,1,6,15,1,1,8,9,3,9,9.5,2,7.7
8,Hugo Hoyer ,13,1,1,6,15,1,1,8,9,7,12,12,2,8.32
9,Benn Wheeler ,13,1,1,6,15,1,1,8,8,9,14,14,2,8.76
10,Harry Robinson ,13,1,1,6,15,1,1,8,7,1,15,16,2,9.16
11,Joshua Le Rexroad ,12,3,17,17,15,1,1,8,11,6,6,6,2,9.34
12,Owen Bales ,13,1,1,6,15,1,1,8,7,5,18,18,2,9.52
13,Jack Urness ,13,1,1,6,15,1,1,8,7,7,19,19,2,9.7
14,Calvin Cha ,13,2,12,13,14,1,19,19,11,4,4,4.5,2,10.36
15,Colin Squire ,13,2,12,13,15,2,16,17,9,1,7,7,2,11.57
16,Brendan Klavins ,13,3,15,15,15,2,16,17,9,9,13,13,2,14.91
17,Graham Owens ,10,3,19,19,15,1,1,8,9,6,11,11,1,11.87
18,Austin Reitz ,7,1,20,20,15,1,1,8,7,1,15,16,1,13.68
19,Brody Rexroad ,12,1,16,16,15,2,16,17,3,3,20,20,1,17.59
20,Ethan Anderson ,10,2,18,18,13,4,21,21,7,1,15,16,,18.22
21,Nathan Sato ,6,2,21,21,14,2,20,20,2,1,21,21,,20.66
