,NAME ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,T O P S ,P O I N T S 
1,Megan Mascarenas ,12,1,1,3,12,1,1,2.5,8,1,2,4,11,1,1,2,3,2.78
2,Alex Puccio ,12,1,1,3,12,1,1,2.5,8,1,2,4,11,1,1,2,3,2.78
3,Michaela Kiersch ,12,1,1,3,12,2,5,5.5,3,1,14,17,11,1,1,2,3,4.87
4,Claire Buhrfeind ,12,4,10,10,12,1,1,2.5,9,5,1,1,10,3,8,8,2,3.76
5,Meagan Martin ,12,1,1,3,10,4,10,10,8,1,2,4,11,3,5,5,2,4.95
6,Sierra Blair-Coyle ,12,3,6,7.5,7,1,12,15,8,1,2,4,11,2,4,4,2,6.51
7,Kyra Condie ,12,5,11,11,12,1,1,2.5,8,2,7,7.5,9,3,10,11,2,6.9
8,Grace Mckeehan ,12,1,1,3,10,1,7,7,7,6,11,11.5,8,1,14,15,1,7.76
9,Lisa Chulich ,12,3,6,7.5,7,1,12,15,4,5,13,13,10,2,6,6.5,1,9.87
10,Sidney Trinidad ,9,2,16,17,12,2,5,5.5,7,4,10,10,8,1,14,15,1,10.88
11,Maya Madere ,12,3,6,7.5,10,2,8,8,3,1,14,17,7,3,17,17.5,1,11.56
12,Kasia Pietras ,12,3,6,7.5,7,1,12,15,3,1,14,17,7,5,19,19,1,13.81
13,Emily Ziffer ,8,1,20,20,10,3,9,9,8,1,2,4,10,2,6,6.5,,8.27
14,Molly Rennie ,11,2,12,12,9,4,11,11,3,1,14,17,9,6,13,13,,13.07
15,Nina Williams ,10,2,13,13,7,1,12,15,8,7,9,9,7,3,17,17.5,,13.24
16,Lily Canavan ,9,1,14,14.5,7,1,12,15,3,1,14,17,9,2,9,9,,13.51
17,Zoe Steinberg ,9,2,16,17,7,2,19,19,7,6,11,11.5,9,3,10,11,,14.22
18,Katherine Lamb ,9,1,14,14.5,7,3,20,20,8,2,7,7.5,6,3,20,20,,14.44
19,Sara Griffith ,9,4,19,19,7,1,12,15,3,1,14,17,9,3,10,11,,15.19
20,Cicada Jenerik ,9,2,16,17,7,1,12,15,3,1,14,17,8,1,14,15,,15.97
